id,source,question
Q086,openbookqa,"If a deer eats a berry plant, the plant eats"
Q087,openbookqa,Deer are most likely to give a wide berth to a
Q088,openbookqa,Which of the following is an example of ecological succession?
Q089,qasc,Communities consist of populations of what?
Q090,qasc,What causes rocks to weather?
Q091,openbookqa,"The air was cold, so all night the sheep kept"
Q092,arc_easy,"When liquid water freezes, it forms ice. What is the physical state of an ice cube?"
Q093,qasc,What can have a negative impact on photosynthesis?
Q094,sciq,The changing of a light ray’s direction (loosely called bending) when it passes through variations in matter is called this?
Q095,qasc,mushrooms are nonphotosynthetic and cannot what?
Q096,arc_easy,An important rule for students to know when heating a test tube is to
Q097,qasc,What can ant bites do?
Q098,openbookqa,Which of these lays eggs?
Q099,arc_challenge,A geologist conducts an investigation to determine the absolute age of a fossil. She then repeats the procedure three times. Which best explains why she repeated the procedure several times?
Q100,openbookqa,"A person is looking at an organism naked to the human eye. Desiring to observe it more clearly, a person engages the use of"
Q101,qasc,"how traits are passed down, or inherited, is found in information in an organism's what?"
Q102,arc_challenge,Cindy learned that trees release gases into to the air during photosynthesis. What gas does a tree release?
Q103,sciq,What is captured by the sticky structure at the top of the style called the stigma?
Q104,sciq,What is the term for when a species no longer exists?
Q105,openbookqa,As the amount of water a plant receives increases what will usually happen with it?
Q106,openbookqa,Roads need repaved in spring because
Q107,qasc,What can chordates go through?
Q108,qasc,What is used for cooking food by putting it over fire?
Q109,sciq,How many orders can flying birds be divided into?
Q110,qasc,where are genes carried?
Q111,openbookqa,the winter solstice is on June 21st in the
Q112,qasc,What occurs over geologic time above the level of the species.
Q113,sciq,A fact or question is only considered science if it has what property?
Q114,qasc,Something with what sticks to the fur of an animal and is transported?
Q115,openbookqa,If blue whales have trouble finding any mates
Q116,qasc,After a storm refraction of light occurs where the light is split into all different what
Q117,arc_easy,The prairie grass ecosystem once had a deep layer of topsoil which was protected by the grasses that covered it. Removal of these grasses for farmland is causing the soil to be eroded mainly by
Q118,sciq,What long molecules are composed of chains of units called monomers?
Q119,openbookqa,A way to ingest more fiber for a bear is to
Q120,arc_easy,Which relationship between Earth's outer core and inner core generates a large portion of Earth's magnetic field?
Q121,arc_easy,Which geologic process is absent from the Gulf Coast states?
Q122,sciq,What is the lowest level of organization that can perform all activities required for life?
Q123,sciq,What is the part of the flower that produces pollen?
Q124,arc_challenge,Read the description of the experiment below to answer the question. One hundred pea seeds were put in petri dishes and covered with wet paper towels. The petri dishes were then put inside black plastic bags. Half of them were placed in an incubator set to 10°C. The remaining half were placed in an incubator set to 30°C. This experiment was most likely designed to study the effect of which variable on the germination of pea seeds?
Q125,qasc,What have special structures for penetrating a host?
Q126,qasc,What requires water for survival?
Q127,qasc,what pollinate plants?
Q128,qasc,What do hurricanes do to the amount of water contained in bodies in water?
Q129,arc_challenge,"Sheep Challenge Evolution A species of sheep lives on the Scottish island of Hirta. Hirta has plenty of grass for the sheep to eat, and no natural predators of the sheep live on the island. Some sheep have dark wool, and some have light wool. The sheep with dark wool tend to be much larger and stronger than the sheep with light wool. However, researchers have found that in the last 20 years, the sheep with light wool have increased in number. Usually, strength and size help animals survive and breed. A new sheep predator is introduced to the island. Which change to the sheep population will most likely occur first?"
Q130,sciq,"Upon reaching the postsynaptic membrane, what type of chemical messenger binds to and activates a specific receptor?"
Q131,arc_easy,Heat from deep in Earth's interior is transferred to its crust by which of the following?
Q132,qasc,what does a flashlight require to produce light?
Q133,arc_challenge,"Rhinoceroses and horses are related. They have very similar digestive systems and an odd number of toes on their feet. Horses have one toe, and rhinoceroses have three. These facts best support which claim?"
Q134,openbookqa,the sun makes rounds around this planet
Q135,qasc,Viruses are not what
Q136,sciq,Reducing the number of molecules in a rigid container causes what to decrease?
Q137,openbookqa,With wind gusts and green skys you should pack
Q138,arc_challenge,Which of the following questions is testable in a scientific investigation?
Q139,qasc,What can be done to make hair dryers safer?
Q140,sciq,What adjective describes the movements that propel the feces during elimination?
Q141,arc_easy,Which tool would best help a person observe the parts of a plant cell?
Q142,openbookqa,If an island is experiencing a hot summer it is because
Q143,arc_easy,Which adaptation will warn predators not to eat an animal?
Q144,openbookqa,"A storm is covering a town in sleet, which means that things"
Q145,sciq,A group of genetically identical individuals is called what?
Q146,arc_easy,Why does the leaf of a plant look green?
Q147,openbookqa,Arctic foxes are white in order to
Q148,qasc,"When game animals move elsewhere, what else does?"
Q149,qasc,what between objects formed deep within the Earth causes them to smooth
Q150,sciq,"What ear structure has three fluid filled ducts, including the organ of corti, where sound waves in air go to vibration?"
