id,source,question,bloom_label
Q119,openbookqa,A way to ingest more fiber for a bear is to,3
Q120,arc_easy,Which relationship between Earth's outer core and inner core generates a large portion of Earth's magnetic field?,4
Q121,arc_easy,Which geologic process is absent from the Gulf Coast states?,2
Q122,sciq,What is the lowest level of organization that can perform all activities required for life?,1
Q123,sciq,What is the part of the flower that produces pollen?,1
Q124,arc_challenge,Read the description of the experiment below to answer the question. One hundred pea seeds were put in petri dishes and covered with wet paper towels. The petri dishes were then put inside black plastic bags. Half of them were placed in an incubator set to 10°C. The remaining half were placed in an incubator set to 30°C. This experiment was most likely designed to study the effect of which variable on the germination of pea seeds?,4
Q125,qasc,What have special structures for penetrating a host?,1
Q126,qasc,What requires water for survival?,1
Q127,qasc,what pollinate plants?,1
Q128,qasc,What do hurricanes do to the amount of water contained in bodies in water?,4
Q129,arc_challenge,"Sheep Challenge Evolution A species of sheep lives on the Scottish island of Hirta. Hirta has plenty of grass for the sheep to eat, and no natural predators of the sheep live on the island. Some sheep have dark wool, and some have light wool. The sheep with dark wool tend to be much larger and stronger than the sheep with light wool. However, researchers have found that in the last 20 years, the sheep with light wool have increased in number. Usually, strength and size help animals survive and breed. A new sheep predator is introduced to the island. Which change to the sheep population will most likely occur first?",4
Q130,sciq,"Upon reaching the postsynaptic membrane, what type of chemical messenger binds to and activates a specific receptor?",1
Q131,arc_easy,Heat from deep in Earth's interior is transferred to its crust by which of the following?,1
Q132,qasc,what does a flashlight require to produce light?,1
Q133,arc_challenge,"Rhinoceroses and horses are related. They have very similar digestive systems and an odd number of toes on their feet. Horses have one toe, and rhinoceroses have three. These facts best support which claim?",5
Q134,openbookqa,the sun makes rounds around this planet,1
Q135,qasc,Viruses are not what,1
Q136,sciq,Reducing the number of molecules in a rigid container causes what to decrease?,3
Q137,openbookqa,With wind gusts and green skys you should pack,3
Q138,arc_challenge,Which of the following questions is testable in a scientific investigation?,5
Q139,qasc,What can be done to make hair dryers safer?,3
Q140,sciq,What adjective describes the movements that propel the feces during elimination?,1
Q141,arc_easy,Which tool would best help a person observe the parts of a plant cell?,3
Q142,openbookqa,If an island is experiencing a hot summer it is because,4
Q143,arc_easy,Which adaptation will warn predators not to eat an animal?,2
Q144,openbookqa,"A storm is covering a town in sleet, which means that things",2
Q145,sciq,A group of genetically identical individuals is called what?,1
Q146,arc_easy,Why does the leaf of a plant look green?,2
Q147,openbookqa,Arctic foxes are white in order to,2
Q148,qasc,"When game animals move elsewhere, what else does?",4
Q149,qasc,what between objects formed deep within the Earth causes them to smooth,1
Q150,sciq,"What ear structure has three fluid filled ducts, including the organ of corti, where sound waves in air go to vibration?",1
