id,question
Q00082,"The number of protons in an atom is called what?"
Q00083,"What type of bonds contain atoms that possess either a partial positive or a partial negative charge?"
Q00084,"Liz's 72 Mustang stopped on the highway because it had run out of fuel. What does she need?"
Q00085,"It is necessary to add a day to the calendar every four years because"
Q00086,"What can help you sleep soundly?"
Q00087,"A fan pushes air with"
Q00088,"Furry animals grow thicker coats which has what impact on their survival?"
Q00089,"Before large trees could grow on Earth, what had to happen first?"
Q00090,"if an object is made of a material then that object has what?"
Q00091,"Some campers are sitting around a campfire outside their tent. Which product of the fire is in the form of electromagnetic waves?"
Q00092,"What is a symbiotic relationship in which both species benefit?"
Q00093,"The Grand Canyon is massive, with large, high peaks and very deep lows, which was formed when"
Q00094,"Aerobic exercise helps improve the cardiovascular system, while what exercise causes muscles to get bigger and stronger?"
Q00095,"What does a compass find?"
Q00096,"Sudden changes in geologic and climatic conditions can spur what process?"
Q00097,"Four significantly different household appliances (blender, mixer, toaster, and food processor) are plugged into four outlets along a counter. Turning on or off one or more of the appliances does not affect the performance of the other appliances because the four appliances"
Q00098,"Yumiko gave some reasons why kettles and kitchen pans are often made of copper. Which reason is correct?"
Q00099,"When wood is burned what kind of energy allows the wood to burn?"
Q00100,"Replacing a natural resource can be"
Q00101,"What type of craniates have backbones?"
Q00102,"What removes wastes and excess water from the body?"
Q00103,"Pipes can burst because at low temperatures, water does what?"
Q00104,"A ramp is an example of what?"
Q00105,"Which of the following converts electrical energy into noise?"
Q00106,"Most members of what kingdom of spore-making organisms grow on the forest floor, where the dark and damp environment is rich?"
Q00107,"The a in atp is short for what?"
Q00108,"Two kinds of sex hormones are of particular importance in females: progesterone, which prepares the uterus for pregnancy and prevents the further release of eggs from the ovaries during pregnancy, and the estrogens, which are mainly responsible for the development of female secondary sexual characteristics, such as breast development and increased deposition of this?"
Q00109,"Which of these animals could keep itself warmest?"
Q00110,"After a heavy rain, a mudslide flows into a pond and mud mixes into the water. Which of the following is most likely to happen?"
Q00111,"When we move down a group of elements on the periodic table, what happens to their electronegativity?"
Q00112,"Which property supports the hypothesis that eukaryotic mitochondria were once prokaryotic organisms?"
Q00113,"Ocean currents transfer heat from the equator towards what locations?"
Q00114,"Ricardo has an igneous rock in his rock collection. Where did this rock most likely form?"
Q00115,"Which surgery is most like the way a transgenic organism is made?"
Q00116,"The muscles exert forces on the body and enable movement by"
Q00117,"How many pairs of chromosomes are there?"
Q00118,"Stomata are special pores that allow gasses to enter and exit what?"
Q00119,"What kind of electricity can you generate with the energy found in flowing water?"
Q00120,"What is the property by which water molecules stick together?"
Q00121,"How are plant cells and human cells the same?"
Q00122,"A way in which sound may be heard is"
Q00123,"The need for farmland in Brazil has led to the cutting of the rain forests in the Amazon. Cutting trees in the Amazon rain forest might have a global effect by"
Q00124,"Anthony and Zach want to know how the temperature of the air affects the temperature of lake water. Which type of tool should they use to measure the temperatures?"
Q00125,"What is one way to change water from a liquid to a solid?"
Q00126,"What is a cactus stem used to reserve?"
Q00127,"Damage to the structural units of the kidneys can be caused by  .."
Q00128,"if two things seemingly come closer together without a person interfering, which of these is likely?"
Q00129,"Scientists use ice cores to identify and explain previous climatic trends. By correlating climatic conditions recorded in the ice, with solid, nonsnow particles also found in the ice, scientists can help to predict the climatic impact of which phenomena?"
Q00130,"In order to classify a newly discovered organism, a scientist investigates the structure, DNA, and life cycle of the organism. The scientist will most likely use the results of the investigation to"
Q00131,"Is wind power renewable or non renewable?"
Q00132,"It can take millions of years for fossil fuels to form. These fossil fuels form underground from decaying plants and animals. Which term best describes a fossil fuel?"
Q00133,"Plants use energy directly from the sun. What do they use the energy from the sun for?"
Q00134,"What should you do for cold weather?"
Q00135,"What mammal is often a pollinator of nocturnal flowers?"
Q00136,"Which organisms make energy available to all other organisms in a food chain?"
Q00137,"Most hormones are controlled by what type of feedback, which causes the hormone to decrease its own production?"
Q00138,"Whose rules are too simple to explain the inheritance of human height?"
Q00139,"which of the following are a type of exercise?"
Q00140,"The planets in the solar system revolve around the Sun because the Sun is"
Q00141,"Ticks spread bacteria that causes what condition?"
Q00142,"What do refrigerator magnets contain that make them stick to a refrigerator door?"
Q00143,"What becomes larger when cell walls relax?"
Q00144,"The core of a star collapses during what event, forming a neutron star?"
Q00145,"Light energy is absorbed by which kind of molecule?"
Q00146,"What is the primary reason for providing detailed, accurate records from scientific investigations?"
Q00147,"In a system of a body, this thing is broken down into smaller pieces to be effectively used:"
Q00148,"Each organ in the digestive system has a specific function. During digestion, food passes from the stomach into the small intestine. Which statement best describes what takes place in the small intestine?"
Q00149,"What is pluto now called?"
Q00150,"Cells in green algae divide along cell plates called what?"
Q00151,"What is the study of macroscopic properties, atomic properties, and phenomena in chemical systems?"
Q00152,"What do organisms require for growth?"
Q00153,"A sandbar is formed by"
Q00154,"which of these is the quickest to go visiting from our world?"
Q00155,"A large plant population may impose selective pressure on a smaller, isolated group of plants, resulting in a change in allele distribution. Which mechanism is responsible for this change in the allele distribution?"
Q00156,"A person wanting to protect the environment could avoid"
Q00157,"Complex chemicals break down into simple ones mainly in the _."
Q00158,"What are the key cells in an allergy attack?"
Q00159,"Gases such as co2 and methane can trap what energy in earth's atmosphere, before radiating it into space?"
Q00160,"Clear cutting of old growth forests in Oregon provides lumber for housing. In the process of clear cutting, plant diversity decreases and some organisms are pushed to extinction. Clear cutting is an example of"
Q00161,"Which of these substances conducts electricity the best?"
Q00162,"Droughts can cause"
Q00163,"Which best describes both a mixture and a solution?"
Q00164,"what are found in place to indicate a place used to be covered by water?"
Q00165,"Which shows a change from potential energy to kinetic energy?"
Q00166,"What are some of the steps that forms a lake?"
Q00167,"Which best explains the cause of the geysers formed in Yellowstone National Park?"
Q00168,"What do some ovum require to survive?"
Q00169,"The stars in the night sky make a yearly"
Q00170,"What do opposite charges do to one another?"
Q00171,"What balances the effect of air pollution in soil?"
Q00172,"something that can negatively impact an organisms health is"
Q00173,"What occurs when arterioles lose their normal muscular tone and dilate dramatically?"
Q00174,"Which type of evidence would a geologist need to support plate tectonic theory?"
Q00175,"Some ancient Greeks tried to discover the laws of the universe through thought and logic. Which part of the scientific process were these scientists missing?"
Q00176,"What color light is actually the absence of electromagnetic waves in the visible spectrum, for humans?"
Q00177,"What compounds, which serve as fuels and are used in manufacturing, are called the driving force of western civilization?"
Q00178,"what increases genetic diversity?"
Q00179,"What forms secondary vascular tissues in trees?"
Q00180,"Cold fronts can give birth to what?"
Q00181,"It's hardest to perceive in a flashlight's beam"
Q00182,"If you touch a wall wart which hasn't been on in weeks, it'll feel"
Q00183,"What are the cells or structures that detect sensations?"
Q00184,"How many pairs of upper jaws do insects have?"
Q00185,"Why do some animals hibernate in the winter?"
Q00186,"Who first discovered the moons of jupiter in 1610?"
Q00187,"What is a disadvantage of using moving water to produce electricity?"
Q00188,"What is the distance between the nuclei of two identical atoms bonded together called?"
Q00189,"Cations have what type of charge?"
Q00190,"What is the name of the elongated bony structure that anchors the anterior thoracic cage?"
Q00191,"What transports millions of humans over water every year?"
Q00192,"Which most likely contributed to the extinction of many species and endangered the survival of others?"
Q00193,"An example of combining two substances is"
Q00194,"The deforestation can be the cause of what occurrence?"
Q00195,"Bluebirds have a strong sense of what?"
Q00196,"Which of these indicates a physical change that occurs during the process of digestion?"
Q00197,"evolution occurs by a process that results in what?"
Q00198,"Which of these is warm-blooded?"
Q00199,"The kidneys work with the urinary system to remove what?"
Q00200,"Shortening of muscle fibers is called what?`"
Q00201,"What are scorpions?"
Q00202,"What is the common term for solid carbon dioxide, which is used as a coolant?"
Q00203,"Microorganisms cause what inside of the cells of living organisms?"
Q00204,"What can HPV cause?"
Q00205,"An example of how melting is achieved is seen in"
Q00206,"Steve's ears alerted him to something. It was"
Q00207,"Breaking free from it's cocoon is the last part it's"
Q00208,"What can lead to cancer in genes that control the cell cycle?"
Q00209,"An insect may pose as bird poop to"
Q00210,"Under certain conditions, electric current causes what type of field?"
Q00211,"At what temperature is water most likely to be in vapor form?"
Q00212,"Keeping your fast food bags in the car until you get home instead of throwing them out the window is an example of protecting the"
Q00213,"What are used as model organisms in molecular biology and genetics?"
Q00214,"The offspring of two living things with white eyes have what color eyes?"
Q00215,"A frog was sick because it wasn't staying warm enough."
Q00216,"What causes genetic disorders?"
Q00217,"What group of elements cannot conduct electricity?"
Q00218,"What is reproduction needed for?"
Q00219,"what do somatic cells perform?"
Q00220,"Which of these are required in addition to a toaster to make toast?"
Q00221,"Which process changes rocks by heat and pressure?"
Q00222,"What can uneven heating of the earth's surface cause?"
Q00223,"A tone is made when a hammer makes contact with"
Q00224,"The part of the ecosystem required by a particular species is endangered when human activity threatens loss of what?"
Q00225,"Which of the following is a description of an organism's development?"
Q00226,"Food contains stored chemical energy. Which units of measurement can be used to compare the amounts of energy in different foods?"
Q00227,"What does a pregnanct woman pass on to the fetus?"
Q00228,"Temperature falls from the equator to"
Q00229,"What is one way in which workplace automation can have a negative effect on society?"
Q00230,"A student measured liquid with a graduated cylinder. Which of the following units could be used to record the volume of the liquid?"
Q00231,"Natural processes shape the surface of Earth. Most canyons are formed by ___."
Q00232,"How can bacterial stis usually be cured?"
Q00233,"What joins within each testis to form the epididymis?"
Q00234,"What are the two components of the ecf?"
Q00235,"As blood glucose levels rise what is released from the pancreas?"
Q00236,"Timber companies can best manage the number of trees in forests by"
Q00237,"Releasing what can have a negative impact on an ecosystem?"
Q00238,"Deer are plants-eaters. A winter storm kills many of the plants deer eat. The storm will most likely result in the deer"
Q00239,"What harmful substance must not be drained into s storm sewer?"
Q00240,"How can you get your hands on white blood cells?"
Q00241,"What is the lightest molecule?"
Q00242,"A student mixed 25 grams of salt into 1,000 grams of water. What is the mass of the saltwater mixture?"
Q00243,"What is the photosynthesis factory of the plant?"
Q00244,"what uses cell division to grow and repair itself?"
Q00245,"A red blood cell will swell and burst when placed in a?"
Q00246,"A mole can avoid being detected by hawks, owls and other predators by"
Q00247,"Scientists explain the world based on what?"
Q00248,"What is the term for stored energy that an object has due to its position or shape?"
Q00249,"Children are more likely to get smallpox if"
Q00250,"What is the study of matter and the changes that material substances undergo."
Q00251,"Radioisotopes may vary greatly in their rate of decay, decaying faster if their nuclei are more what?"
Q00252,"Chris stirs a cup of hot chocolate. He uses a wooden stick thinking it will stay cooler than a metal spoon. Which activity best describes the student's action?"
Q00253,"What make the stem or root grow larger in diameter?"
Q00254,"A thermometer is used to do what with the amount of heat?"
Q00255,"Which part of a plant makes sugar from carbon dioxide?"
Q00256,"What can be startling?"
Q00257,"What is the metal part of the compound named as?"
Q00258,"Brian knows deserts get less rain than other ecosystems. However, he also knows that plants can survive in the desert. Which characteristic of a plant most likely helps it live in a desert?"
Q00259,"What will make an increase in the sea level?"
Q00260,"What do you call an abnormal mass formed when cells divide uncontrollably?"
Q00261,"Some prokaryotes form spores for survival called what?"
Q00262,"What is the initial cause of black holes?"
Q00263,"Who lack some of the defining traits of chordates?"
Q00264,"Melting, boiling, and freezing are examples of"
Q00265,"What is least likely to absorb light?"
Q00266,"What happens when a neutral atom gains or loses electrons?"
Q00267,"Prokaryotes divide via binary fission and do not undergo what process of cell division?"
Q00268,"What are the catalysts that occur naturally in living organisms and are primarily protein molecules?"
Q00269,"Which is most likely a pollinating animal?"
Q00270,"Name the one metal that melts below room temperature?"
Q00271,"What tissue do clubmosses have that mosses do not?"
Q00272,"The plants alternation between haploid and diploud generations allow it to do what?"
Q00273,"What can cause jackknifing and rollover in a vehicle?"
Q00274,"What may be caused by an infection or injury of the lungs?"
Q00275,"What diagram is used to reflect evolutionary relationships among organisms or groups of organisms?"
Q00276,"Water vapor is an example of what?"
Q00277,"Where does a landslide begin?"
Q00278,"Conserving what can be used for survival in a dry environment?"
Q00279,"Glaciers have been melting since what period?"
Q00280,"What are the tiny packets of energy the sun gives off called?"
Q00281,"What layer, made of hot, solid rock, is beneath the earth's crust?"
Q00282,"What does fanning a fire increase?"
Q00283,"What type of environment is a bromeliad adapted to?"
Q00284,"Most pituitary hormones control other glands that secrete hormones into the what"
Q00285,"What can some insects use their feelers to detect?"
Q00286,"Meningitis can be caused by what?"
Q00287,"When two bumper cars collide, some of the kinetic energy of the cars is transformed. Which form of energy is most likely formed as a result of this collision?"
Q00288,"what suddenly gets much smaller with the bottleneck effect"
Q00289,"Where do skeletal muscles usually attach?"
Q00290,"Support cables in a suspension bridge are most stressed by which of the following forces?"
Q00291,"What might a porcupine do if threatened by a fisher?"
Q00292,"Wood can be reused to make a"
Q00293,"What is required for breathing?"
Q00294,"Animals respond to environmental stimuli obtained through their sensory organs. How does the body convert information from the environment to an internal response?"
Q00295,"When conducting an investigation involving an open flame, it is most important to"
Q00296,"What is light that has only a single wavelength called?"
Q00297,"What do cars use for energy?"
Q00298,"A sailor needs to navigate to the shore, and does this by"
Q00299,"Carbon dioxide emissions have increased due to large numbers of automobiles and increased industrialization. Which of the following has been most affected by the increase in carbon dioxide levels?"
Q00300,"A person will make ethanol out of all aside from"
Q00301,"The radiocarpal and midcarpal joints are responsible for all movements of the hand and what other part of the body?"
Q00302,"What can change the color of an environment from green to brown?"
Q00303,"The main components of the circulatory system are the heart, blood vessels, and what else?"
Q00304,"What method plays a role in determining the approximate age of the earth and makes use of uranium?"
Q00305,"What does the color of soil indicate?"
Q00306,"Which statement about plant and animals cells is true?"
Q00307,"What is the first digestive organ that food enters?"
Q00308,"A rubber band stretched too thin will have particles what?"
Q00309,"Thirst is used to make a cow realize that it needs to replenish its bodily what by the body?"
Q00310,"Different isotopes of an element have different mass numbers because they have different numbers of what?"
Q00311,"Where do soil nutrients also exist?"
Q00312,"astronauts require what food for extended flights?"
Q00313,"What affects cell aging?"
Q00314,"El Cajon Pass in California is becoming higher than the land around it at a rate of nearly 1 centimeter each year. Which statement is true about the area?"
Q00315,"The primary cause of continental drift, earthquakes, and volcanic eruptions is"
Q00316,"Students conducted an investigation with green bananas. They hypothesized that an onion placed near a banana could increase the rate at which the banana ripened. They placed one onion and one banana in each of three containers. In a fourth container they placed a banana, but no onion. Which statement best explains why the onion was left out of the fourth container?"
Q00317,"What unit of pressure is named for the scientist whose discoveries about pressure in fluids led to a law of the same name?"
Q00318,"Ethyl alcohol can be made by distilling and fermenting simple sugars from"
Q00319,"Gas exchange during respiration occurs primarily through what?"
Q00320,"Which of the following is formed immediately after fertilization?"
Q00321,"What is the movement of plates called?"
Q00322,"The handle of a frying pan is often coated in rubber because rubber provides"
Q00323,"if a person wanted to hunt down some deer, which of these would be the wrong place to visit?"
Q00324,"Climate change may be reducing the amount of ice floating on the world's oceans. How can this change most likely alter the food supply available to marine consumer organisms?"
Q00325,"What are interferons?"
Q00326,"Falling onto what joint can fracture the distal humerus?"
Q00327,"There are many changes that can occur to the earth, quickly or overtime. Which would occur over millions of years?"
Q00328,"What type of cell does the sperm cell fertilize?"
Q00329,"When liquids are heated above a point, a liquid is converted to what?"
Q00330,"For two organisms to be classified as the same species, they must produce offspring that are"
Q00331,"Which best demonstrates the concept of force causing an increase in speed?"
Q00332,"Why do zebras choose to live where they live?"
Q00333,"A person can cause a chemical reaction by adding heat to"
Q00334,"What helps to regulate consciousness, arousal, and sleep states?"
Q00335,"If Jessica has light eyes (bb) and both of her parents have dark eyes (Bb), which statement is true?"
Q00336,"The movement of molten metal in earth's outer core creates?"
Q00337,"Of the following types of cells, which has the highest concentration of mitochondria?"
Q00338,"Carbon atoms have six neutrons as well as how many protons?"
Q00339,"Felicia noticed how air temperatures were cooler and there were fewer hours of daylight during some of the seasons. Which of the following contributes to these seasonal changes?"
Q00340,"What is the process of creating an exact genetic replica of an organism called?"
Q00341,"what involved in digestion occur mainly in the small intestine?"
Q00342,"What device is a magnetic disc that provides long-term storage for programs and data?"
Q00343,"Oxygen has the second highest electronegativity of any element; consequently, it prefers to share or accept electrons from other elements. only with fluorine does oxygen form compounds in this?"
Q00344,"What occurs when the immune system makes an inflammatory response to a harmless antigen?"
Q00345,"When is the rate of the forward reaction equal to the rate of the reverse reaction?"
Q00346,"The location of an object in a frame of reference is called what?"
Q00347,"Which organism is a decomposer?"
Q00348,"the  oceans are full of"
Q00349,"What is essential for a robot to possess to walk up a flight of stairs?"
Q00350,"What must organisms that live in marine biomes adapt to?"
Q00351,"The following mountain ranges: the Alps, Appalachians, and Himalayas are formed from"
Q00352,"Where does absorption of nutrients occur?"
Q00353,"A student is studying nonrenewable resources. Which of these resources could the student be studying?"
Q00354,"Organic chemistry is the study of the chemistry of what?"
Q00355,"Which would most likely need to happen for a new plant to grow?"
Q00356,"Ethanol sometimes might be"
Q00357,"What has a positive effect on an ecosystem?"
Q00358,"While similar to insects, what eight-legged invertebrates lack antennae or wings?"
Q00359,"What is something that cannot reproduce by itself?"
Q00360,"What type of waste is eliminated from the body through the anus?"
Q00361,"What is the term for the hard covering that protects insects, crustaceans, and spiders?"
Q00362,"A person wants to use raw materials to make things. Considering the want to create with raw materials, the person"
Q00363,"When is fog most likely to occur"
Q00364,"Which of these objects has the greatest mass?"
Q00365,"Pushing on the pedals of a tricycle causes it to do what?"
Q00366,"Saving water is important for surviving in what kind of environment?"
Q00367,"Bottleneck effect can occur with"
Q00368,"Compounds that form from two or more nonmetallic elements are called what?"
Q00369,"Which part of a plant takes in water and nutrients from the soil?"
Q00370,"when the seasons change from the summer to the fall, the days become what?"
Q00371,"Mammals find breath through the action of what thing beneath their lungs?"
Q00372,"Which causes more matter vibration?"
Q00373,"Plants and animals are composed of organic compounds. Which of the following are the common elements found in organic compounds?"
Q00374,"What is caused by human actions that releases chemical substances and particles into the air?"
Q00375,"Which biological process in mammals occurs largely due to cell division?"
Q00376,"what can happen from a disease in which cells divide out of control?"
Q00377,"If you're suffering from hypothermia it would help to get close to"
Q00378,"What causes seasons?"
Q00379,"Pat is learning how energy flows through an ecosystem. Pat understands that animals get energy from plants. What do plants do that allow animals to get energy from them?"
Q00380,"The most common two-lens telescope, like the simple microscope, uses lenses of what shape?"
Q00381,"What will detect fault movements?"
Q00382,"Some plant species and animal species depend on each other. Which of these animals help thousands of plant species to reproduce?"
Q00383,"What is an example of a tetrapod vertebrate?"
Q00384,"Active immunity results when an immune response to a pathogen produces the basis of what?"
Q00385,"Which sequence lists the levels of organization in the human body from simplest to most complex?"
Q00386,"Scraping an object"
Q00387,"What do you call the two ends of a magnet where the magnetic effect is strongest?"
Q00388,"An engineering class has been instructed to develop a robot. The robot must be designed using electromagnetic energy as its only source of power. What topic is the engineering class most likely studying?"
Q00389,"What behavior includes all the ways that animals interact with each other and the environment?"
Q00390,"rocks become hot very what"
Q00391,"From Earth, we see the sun in the day sky and other stars in the night sky. Nighttime stars look like tiny points of light. Which statement explains why nighttime stars appear so much smaller than the sun?"
Q00392,"What changes the chemical composition of a substance and can only occur through a chemical reaction?"
Q00393,"Plants are capable of making:"
Q00394,"What is one instinct that animals use to stay alive?"
Q00395,"The human body produces motion by changing chemical energy into mechanical energy. Which of these best describes what happens to the energy?"
Q00396,"What doesn't a phase change alter?"
Q00397,"Which muscle is a band-like muscle that extends from the anterior superior iliac spine to the medial side?"
Q00398,"Many transition metals and their compounds are used as what?"
Q00399,"hormones control many cell activities and are important to what?"
Q00400,"The water cycle is powered by energy from where?"
Q00401,"What theory explains most of the features of earth’s surface?"
Q00402,"Which term best describes the life cycle of an insect that reaches the adult stage without being a pupa?"
Q00403,"Which object best reflects light?"
Q00404,"What protects lizards?"
Q00405,"A child smacks another child, causing hurt, which causes the smacked child to"
Q00406,"A person avoiding UV rays would"
Q00407,"Which investigation might be used to demonstrate potential energy?"
Q00408,"Where does most geologic activity take place?"
Q00409,"Plants release oxygen during the day and alter their position to what?"
Q00410,"what can flowing water slowly dissolve carbon in?"
Q00411,"In eukaryotes, the cell cycle consists of a long preparatory period, called __________ before undergoing cell division."
Q00412,"Which type of arthritis causes the immune system to attack joints?"
Q00413,"When zinc and copper are melted together, brass is formed. Brass is an example of"
Q00414,"What forms when tectonic plates move above a hot spot?"
Q00415,"Gulf sturgeons, a type of fish, live in saltwater along the gulf coast of Florida. They swim upriver to breed in clean freshwater. After several years, the young sturgeons migrate downriver to the coastal saltwater environments. Which would be the most likely effect on gulf sturgeons if dams were built along these rivers?"
Q00416,"What can be used to estimate a forest's growth rate?"
Q00417,"What are observable patterns of stars found in the night sky called?"
Q00418,"on which of these does a ball fall faster from a height?"
Q00419,"Which type of organism is the best at fixing nitrogen?"
Q00420,"The fetal stage begins about how long after fertilization?"
Q00421,"What has an enlarged cummerbund-like band that goes through a major transformation?"
Q00422,"What animal can live without oxygen"
Q00423,"Which section of Earth is composed primarily of liquid metal?"
Q00424,"Some students wanted to make a model to show how the size of the moon compares with the size of Earth. They used an orange to represent the moon. Which of the following would best represent Earth?"
Q00425,"What word describes a molecule that repels polar water?"
Q00426,"Which event is an example of inherited behavior?"
Q00427,"A thing with cells is going to expand, but first requires"
Q00428,"A skill some humans have is"
Q00429,"Which of the following is likely to reject nutrients from food?"
Q00430,"what helps with the fertilization of plants?"
Q00431,"All of the following are examples of erosion EXCEPT:"
Q00432,"What is created when heat energy is reduced?"
Q00433,"what produces nutritious fluid?"
Q00434,"What can make a river deepen and widen?"
Q00435,"What is a measure of the amount of space a substance or an object takes up?"
Q00436,"Dominic is observing a volvox colony and a paramecium under a microscope. He makes a note in his journal that the volvox colony and the paramecium are similar because they have many organelles for movement. What would Dominic most likely notice about the movement of a volvox colony and a paramecium?"
Q00437,"Which state of matter has the lowest density?"
Q00438,"What can be done to prevent illness from eating oysters?"
Q00439,"In a pedigree what shape symbolizes males?"
Q00440,"What type of disease is muscular dystrophy?"
Q00441,"What mineral is made of one silicon atom and two oxygen atoms?"
Q00442,"What type of chemicals do ants communicate with?"
Q00443,"What do we call any way that animals act, either alone or with other animals."
Q00444,"What play an important role in the modulation of the nuclear chain reaction?"
Q00445,"A group of students tested the effects of different amounts of water on ivy plant growth. Afterwards, they could not remember how much each plant grew per day. What should they have done to practice good science?"
Q00446,"Which type of star is most likely to end up as black hole?"
Q00447,"Like bacteria, archaea can have what to assist with movement?"
Q00448,"In animal skin tissue, cell division is responsible for"
Q00449,"What supports the scapula, transmits the weight and forces from the upper limb to the body trunk, and protects the underlying nerves and blood vessels?"
Q00450,"What kind of energy is released when the nucleus of an atom is split?"
Q00451,"Alicia put hydrogen peroxide and yeast in a paper cup. The paper cup felt hot, and she concluded that a reaction occurred that gave off heat. What else could Alicia do to get a more accurate conclusion?"
Q00452,"A dormant form of what may be dispersed by moving water, wind or other organisms?"
Q00453,"Cells infected with viruses secrete what example of early induced proteins, which travel to adjacent cells and induce them to make antiviral proteins, a sacrifice that protects the surrounding cells?"
Q00454,"What also happens when people feel anxious and breathe too fast?"
Q00455,"A cloud gets fat and heavy because"
Q00456,"How does the sun generate energy?"
Q00457,"What helps regulate the production of urine?"
Q00458,"The first period of the paleozoic era was called what?"
Q00459,"Harmful instances of what can result in errors in protein sequence that yield non-functional proteins?"
Q00460,"Which state of matter has an intermediate level of entropy between solid and gas?"
Q00461,"What state of hydrogen can be predicted based on the atoms to which it is bonded?"
Q00462,"Pneumonia may be caused by viruses or"
